,Ones,Zeros,Output
1250,45549,83257,0
1251,56568,53219,0
1252,38959,41128,0
1253,38540,87875,0
1254,44867,308595,0
1255,203656,324621,0
1256,31893,57292,0
1257,140190,52822,0
1258,93390,306631,0
1259,61388,42786,0
1260,9438,51785,0
1261,130867,84189,0
1262,20715,85337,0
1263,155513,83201,0
1264,114960,78616,0
1265,50529,80367,0
1266,15928,59550,0
1267,151809,73754,0
1268,73022,81359,0
1269,7112,160784,0
1270,6807,49429,0
1271,21564,50193,0
1272,55808,79703,0
1273,156106,64501,0
1274,88629,77366,0
1275,32207,31044,0
1276,171301,58943,0
1277,137099,95913,0
1278,88780,94557,0
1279,35337,840,0
1280,26115,124013,0
1281,5404,56623,0
1282,140798,61006,0
1283,52494,56256,0
1284,17241,50814,0
1285,119528,101885,0
1286,92232,89579,0
1287,82010,85089,0
1288,20448,203652,0
1289,80664,67440,0
1290,91450,88287,0
1291,35844,46193,0
1292,101904,51098,0
1293,79498,85755,0
1294,131010,100320,0
1295,31284,83022,0
1296,133744,70956,0
1297,30831,58042,0
1298,168477,79289,0
1299,58514,29099,0
1300,16801,43914,0
1301,38275,59835,0
1302,17979,187232,0
1303,90583,83617,0
1304,75848,112073,0
1305,98884,82675,0
1306,67482,78298,0
1307,27118,56450,0
1308,57592,284088,0
1309,45975,43148,0
1310,216926,80759,0
1311,12069,197493,0
1312,103520,89306,0
1313,30587,55091,0
1314,546,3803,0
1315,95856,103905,0
1316,79651,312736,0
1317,181869,75267,0
1318,1694,51332,0
1319,44126,41665,0
1320,81737,321114,0
1321,25389,237554,0
1322,77733,56288,0
1323,97598,63424,0
1324,20376,81145,0
1325,181089,79876,0
1326,92695,82109,0
1327,27411,54560,0
1328,33030,84094,0
1329,25142,90133,0
1330,65574,93001,0
1331,69232,50182,0
1332,133650,54171,0
1333,62444,350854,0
1334,30854,54825,0
1335,83460,355879,0
1336,54404,55455,0
1337,48473,56449,0
1338,200307,84387,0
1339,4499,58999,0
1340,76570,336958,0
1341,16653,227219,0
1342,54464,252885,0
1343,98131,321933,0
1344,89297,366303,0
1345,117505,359166,0
1346,65794,82399,0
1347,124948,84631,0
1348,94306,278287,0
1349,35125,282500,0
1350,47551,84971,0
1351,60191,397495,0
1352,9866,80789,0
1353,200124,89100,0
1354,105662,49313,0
1355,91519,96575,0
1356,48056,108990,0
1357,18608,82063,0
1358,115452,92176,0
1359,104920,346362,0
