,Blue_Variance,Green_Variance,Red_Variance,Output,Var_,Amount,Pixel,Angle
127,5067.248306785544,5366.080358653311,5487.971208700796,0,0.07132798048077375,0.001,3.0,101.3126183601679
128,4598.982857844205,5367.90840144207,4880.362147626158,0,0.09547976943619867,0.001,3.0,29.973622268122906
129,3577.8783479816784,4395.973131721403,3765.397950754048,0,0.0026758471804400543,0.001,3.0,131.96644542092744
130,6028.653212652822,4373.939879811251,3513.879360563241,0,0.09134665924417938,0.001,3.0,72.59201633175216
131,5501.217055971603,5085.426079532371,3829.599028465848,0,0.01590201747683513,0.001,3.0,176.33757485101233
132,3581.3286845600446,4615.68598349065,3725.421758485274,0,0.042561993861366075,0.001,3.0,120.88812870666698
133,2962.443673076441,3854.4175282370556,2884.0752620706376,0,0.03409217509683234,0.001,3.0,68.32392080092227
134,3969.5681377360243,4604.374169151605,3953.2894562540578,0,0.06127974655128944,0.001,3.0,44.136726445597255
135,3901.75906623688,5381.6143454873,4700.705023368898,0,0.015396317744568,0.001,3.0,15.604370216851382
136,4652.083123562306,5844.559221318086,5056.040212628585,0,0.005237527237478443,0.001,3.0,72.2041080764399
137,3706.2754764892074,5131.156719158568,4789.571184616978,0,0.08824030142483555,0.001,3.0,176.40713424084768
138,4234.821686718032,4386.587265922688,3700.5532768929525,0,0.04495101528921351,0.001,3.0,84.97031889992179
139,3103.001252420172,3590.8004260557163,3376.3795962674594,0,0.024021035623009748,0.001,3.0,72.37824570337777
140,3831.2584452122296,4460.828397953364,4136.297240617795,0,0.048723844155124034,0.001,3.0,3.656406964629486
141,4138.436338422131,3745.5468671689455,3149.743428315789,0,0.02441012297436916,0.001,3.0,76.10501552287269
142,4091.9512231911312,5139.725491734878,4578.7164235314285,0,0.08687031335151427,0.001,3.0,109.38993443802194
143,3977.6644400555842,3916.1859057953434,3472.157964989369,0,0.042190160837128,0.001,3.0,24.493211935091963
144,3547.407110547887,4271.974294864776,3565.956380132511,0,0.002235382610701845,0.001,3.0,81.5710646424318
145,3837.683994845561,4866.157940970765,4654.1464717992085,0,0.07311988692586792,0.001,3.0,132.11261139794198
